Date,Route,Flights,Passengers
1/01/2019,Brisbane - Canberra,527,48438
1/02/2019,Brisbane - Canberra,476,43201
1/03/2019,Brisbane - Canberra,523,51234
1/04/2019,Brisbane - Canberra,534,54584
1/05/2019,Brisbane - Canberra,554,52466
1/06/2019,Brisbane - Canberra,528,52510
1/07/2019,Brisbane - Canberra,574,62171
1/08/2019,Brisbane - Canberra,566,60733
1/09/2019,Brisbane - Canberra,558,60656
1/10/2019,Brisbane - Canberra,575,61444
1/11/2019,Brisbane - Canberra,529,55726
1/12/2019,Brisbane - Canberra,558,56950
1/01/2020,Brisbane - Canberra,530,52607
1/02/2020,Brisbane - Canberra,492,45616
1/03/2020,Brisbane - Canberra,422,32315
1/04/2020,Brisbane - Canberra,,
1/05/2020,Brisbane - Canberra,,
1/06/2020,Brisbane - Canberra,78,4003
1/07/2020,Brisbane - Canberra,134,11389
1/08/2020,Brisbane - Canberra,110,6221
1/09/2020,Brisbane - Canberra,79,4328
1/10/2020,Brisbane - Canberra,215,20966
1/11/2020,Brisbane - Canberra,303,30598
1/12/2020,Brisbane - Canberra,382,38885
1/01/2021,Brisbane - Canberra,384,31484
1/02/2021,Brisbane - Canberra,413,29818
1/03/2021,Brisbane - Canberra,478,37921
1/04/2021,Brisbane - Canberra,410,36074
1/05/2021,Brisbane - Canberra,512,44992
1/06/2021,Brisbane - Canberra,498,48193
1/01/2019,Brisbane - Melbourne,2216,296590
1/02/2019,Brisbane - Melbourne,1956,255981
1/03/2019,Brisbane - Melbourne,2133,295315
1/04/2019,Brisbane - Melbourne,2137,307006
1/05/2019,Brisbane - Melbourne,2017,276350
1/06/2019,Brisbane - Melbourne,1991,275212
1/07/2019,Brisbane - Melbourne,2259,330830
1/08/2019,Brisbane - Melbourne,2108,306282
1/09/2019,Brisbane - Melbourne,2111,312075
1/10/2019,Brisbane - Melbourne,2211,331472
1/11/2019,Brisbane - Melbourne,2077,306718
1/12/2019,Brisbane - Melbourne,2205,314850
1/01/2020,Brisbane - Melbourne,2132,308815
1/02/2020,Brisbane - Melbourne,1891,239671
1/03/2020,Brisbane - Melbourne,1663,168894
1/04/2020,Brisbane - Melbourne,257,8637
1/05/2020,Brisbane - Melbourne,267,16128
1/06/2020,Brisbane - Melbourne,355,27098
1/07/2020,Brisbane - Melbourne,232,6580
1/08/2020,Brisbane - Melbourne,138,3677
1/09/2020,Brisbane - Melbourne,182,4401
1/10/2020,Brisbane - Melbourne,174,6050
1/11/2020,Brisbane - Melbourne,220,6220
1/12/2020,Brisbane - Melbourne,1138,132589
1/01/2021,Brisbane - Melbourne,972,95958
1/02/2021,Brisbane - Melbourne,622,47297
1/03/2021,Brisbane - Melbourne,1096,131340
1/04/2021,Brisbane - Melbourne,1268,136052
1/05/2021,Brisbane - Melbourne,1456,159588
1/06/2021,Brisbane - Melbourne,698,42825
1/01/2019,Brisbane - Sydney,2749,373527
1/02/2019,Brisbane - Sydney,2717,353301
