Month,In_Out,Australian_City,International_City,Airline,Flight_Path,Stop_1,Stop_2,Stop_3,Stop_4,Port_Country,Port_Region,Service_Country,Service_Region,Stops,All_Flights,Max_Seats,Year,Month_num
Jan-19,I,Adelaide,Auckland,Air New Zealand,AKL-ADL,AKL,ADL,,,New Zealand,New Zealand,New Zealand,New Zealand,0,22,6864,2019,1
Jan-19,I,Adelaide,Denpasar,Jetstar,DPS-ADL,DPS,ADL,,,Indonesia,SE Asia,Indonesia,SE Asia,0,31,5718,2019,1
Jan-19,I,Adelaide,Doha,Qatar Airways,DOH-ADL,DOH,ADL,,,Qatar,Middle East,Qatar,Middle East,0,31,8773,2019,1
Jan-19,I,Adelaide,Dubai,Emirates,DXB-ADL,DXB,ADL,,,United Arab Emirates,Middle East,United Arab Emirates,Middle East,0,31,11032,2019,1
Jan-19,I,Adelaide,Guangzhou,China Southern Airlines,CAN-ADL,CAN,ADL,,,China,NE Asia,China,NE Asia,0,25,7050,2019,1
Jan-19,I,Adelaide,Hong Kong,Cathay Pacific Airways,HKG-ADL,HKG,ADL,,,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,27,6777,2019,1
Jan-19,I,Adelaide,Kuala Lumpur,Malaysia Airlines,KUL-ADL,KUL,ADL,,,Malaysia,SE Asia,Malaysia,SE Asia,0,22,6380,2019,1
Jan-19,I,Adelaide,Nadi,Fiji Airways,NAN-ADL,NAN,ADL,,,Fiji,Islands,Fiji,Islands,0,8,1312,2019,1
Jan-19,I,Adelaide,Singapore,Singapore Airlines,SIN-ADL,SIN,ADL,,,Singapore,SE Asia,Singapore,SE Asia,0,40,11958,2019,1
Jan-19,I,Brisbane,Abu Dhabi,Etihad Airways,AUH-BNE,AUH,BNE,,,United Arab Emirates,Middle East,United Arab Emirates,Middle East,0,31,9269,2019,1
Jan-19,I,Brisbane,Apia,Virgin Australia,APW-BNE,APW,BNE,,,Western Samoa,Islands,Western Samoa,Islands,0,7,1232,2019,1
Jan-19,I,Brisbane,Apia,Samoa Airways,APW-BNE,APW,BNE,,,Western Samoa,Islands,Western Samoa,Islands,0,7,1190,2019,1
Jan-19,I,Brisbane,Auckland,Virgin Australia,AKL-BNE,AKL,BNE,,,New Zealand,New Zealand,New Zealand,New Zealand,0,68,11968,2019,1
Jan-19,I,Brisbane,Auckland,Qantas Airways,AKL-BNE,AKL,BNE,,,New Zealand,New Zealand,New Zealand,New Zealand,0,66,14402,2019,1
Jan-19,I,Brisbane,Auckland,Air New Zealand,AKL-BNE,AKL,BNE,,,New Zealand,New Zealand,New Zealand,New Zealand,0,78,19483,2019,1
Jan-19,I,Brisbane,Auckland,China Airlines,AKL-BNE-TPE,AKL,BNE,TPE,,New Zealand,New Zealand,New Zealand,New Zealand,1,31,11098,2019,1
Jan-19,I,Brisbane,Bangkok,Thai Airways International,BKK-BNE,BKK,BNE,,,Thailand,SE Asia,Thailand,SE Asia,0,17,4964,2019,1
Jan-19,I,Brisbane,Beijing,Air China,BJS-BNE,BJS,BNE,,,China,NE Asia,China,NE Asia,0,8,1924,2019,1
Jan-19,I,Brisbane,Christchurch,Virgin Australia,CHC-BNE,CHC,BNE,,,New Zealand,New Zealand,New Zealand,New Zealand,0,33,5808,2019,1
Jan-19,I,Brisbane,Christchurch,Qantas Airways,CHC-BNE,CHC,BNE,,,New Zealand,New Zealand,New Zealand,New Zealand,0,30,5220,2019,1
Jan-19,I,Brisbane,Christchurch,Air New Zealand,CHC-BNE,CHC,BNE,,,New Zealand,New Zealand,New Zealand,New Zealand,0,44,7234,2019,1
Jan-19,I,Brisbane,Denpasar,Virgin Australia,DPS-BNE,DPS,BNE,,,Indonesia,SE Asia,Indonesia,SE Asia,0,43,7568,2019,1
Jan-19,I,Brisbane,Denpasar,Jetstar,DPS-BNE,DPS,BNE,,,Indonesia,SE Asia,Indonesia,SE Asia,0,31,10385,2019,1
Jan-19,I,Brisbane,Denpasar,Malindo Air,KUL-DPS-BNE,KUL,DPS,BNE,,Indonesia,SE Asia,Malaysia,SE Asia,1,31,5022,2019,1
Jan-19,I,Brisbane,Dubai,Emirates,DXB-BNE,DXB,BNE,,,United Arab Emirates,Middle East,United Arab Emirates,Middle East,0,62,26135,2019,1
Jan-19,I,Brisbane,Dubai,Emirates,DXB-SIN-BNE,DXB,SIN,BNE,,United Arab Emirates,Middle East,United Arab Emirates,Middle East,1,31,10976,2019,1
Jan-19,I,Brisbane,Dunedin,Virgin Australia,DUD-BNE,DUD,BNE,,,New Zealand,New Zealand,New Zealand,New Zealand,0,15,2640,2019,1
Jan-19,I,Brisbane,Espiritu Santo,Air Vanuatu,SON-BNE,SON,BNE,,,Vanuatu,Islands,Vanuatu,Islands,0,4,680,2019,1
Jan-19,I,Brisbane,Espiritu Santo,Air Vanuatu,VLI-SON-BNE,VLI,SON,BNE,,Vanuatu,Islands,Vanuatu,Islands,1,4,680,2019,1
Jan-19,I,Brisbane,Guangzhou,China Southern Airlines,CAN-BNE,CAN,BNE,,,China,NE Asia,China,NE Asia,0,31,8835,2019,1
Jan-19,I,Brisbane,Hong Kong,Cathay Pacific Airways,HKG-BNE,HKG,BNE,,,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,48,12947,2019,1
Jan-19,I,Brisbane,Hong Kong,Qantas Airways,HKG-BNE,HKG,BNE,,,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,31,8363,2019,1
Jan-19,I,Brisbane,Honiara,Virgin Australia,HIR-BNE,HIR,BNE,,,Solomon Islands,Islands,Solomon Islands,Islands,0,10,1760,2019,1
Jan-19,I,Brisbane,Honiara,Solomon Airlines,HIR-BNE,HIR,BNE,,,Solomon Islands,Islands,Solomon Islands,Islands,0,21,2856,2019,1
Jan-19,I,Brisbane,Honolulu,Hawaiian Airlines,HNL-BNE,HNL,BNE,,,USA,N America,USA,N America,0,15,4155,2019,1
Jan-19,I,Brisbane,Honolulu,Qantas Airways,HNL-BNE-SYD,HNL,BNE,SYD,,USA,N America,USA,N America,1,1,364,2019,1
Jan-19,I,Brisbane,Kuala Lumpur,Malaysia Airlines,KUL-BNE,KUL,BNE,,,Malaysia,SE Asia,Malaysia,SE Asia,0,18,5220,2019,1
Jan-19,I,Brisbane,Kuala Lumpur,Malindo Air,KUL-DPS-BNE,KUL,DPS,BNE,,Malaysia,SE Asia,Malaysia,SE Asia,1,31,5022,2019,1
Jan-19,I,Brisbane,Los Angeles,Virgin Australia,LAX-BNE,LAX,BNE,,,USA,N America,USA,N America,0,27,9153,2019,1
Jan-19,I,Brisbane,Los Angeles,Qantas Airways,LAX-BNE,LAX,BNE,,,USA,N America,USA,N America,0,47,11088,2019,1
Jan-19,I,Brisbane,Manila,Philippine Airlines,MNL-BNE,MNL,BNE,,,Philippines,SE Asia,Philippines,SE Asia,0,22,3696,2019,1
Jan-19,I,Brisbane,Nadi,Virgin Australia,NAN-BNE,NAN,BNE,,,Fiji,Islands,Fiji,Islands,0,34,6281,2019,1
Jan-19,I,Brisbane,Nadi,Fiji Airways,NAN-BNE,NAN,BNE,,,Fiji,Islands,Fiji,Islands,0,32,5518,2019,1
Jan-19,I,Brisbane,Nauru,Nauru Airlines,INU-BNE,INU,BNE,,,Nauru,Islands,Nauru,Islands,0,16,2048,2019,1
Jan-19,I,Brisbane,Noumea,Qantas Airways,NOU-BNE,NOU,BNE,,,New Caledonia,Islands,New Caledonia,Islands,0,4,700,2019,1
Jan-19,I,Brisbane,Noumea,Air Caledonie,NOU-BNE,NOU,BNE,,,New Caledonia,Islands,New Caledonia,Islands,0,18,2892,2019,1
Jan-19,I,Brisbane,Port Moresby,Virgin Australia,POM-BNE,POM,BNE,,,Papua New Guinea,Islands,Papua New Guinea,Islands,0,22,3872,2019,1
Jan-19,I,Brisbane,Port Moresby,Air Niugini,POM-BNE,POM,BNE,,,Papua New Guinea,Islands,Papua New Guinea,Islands,0,31,6370,2019,1
Jan-19,I,Brisbane,Port Moresby,Qantas Airways,POM-BNE,POM,BNE,,,Papua New Guinea,Islands,Papua New Guinea,Islands,0,27,4590,2019,1
Jan-19,I,Brisbane,Port Vila,Virgin Australia,VLI-BNE,VLI,BNE,,,Vanuatu,Islands,Vanuatu,Islands,0,18,3168,2019,1
Jan-19,I,Brisbane,Port Vila,Air Vanuatu,VLI-BNE,VLI,BNE,,,Vanuatu,Islands,Vanuatu,Islands,0,8,1360,2019,1
