name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code
Albury Airport,-36.06779861,146.9579926,539,OC,AU,AU-NSW,Albury,YMAY,ABX
Adelaide International Airport,-34.945,138.531006,20,OC,AU,AU-SA,Adelaide,YPAD,ADL
Auckland International Airport,-37.0080986,174.7920074,23,OC,NZ,NZ-AUK,Auckland,NZAA,AKL
Faleolo International Airport,-13.82999992,-172.0079956,58,OC,WS,WS-AA,Apia,NSFA,APW
Armidale Airport,-30.52809906,151.6170044,3556,OC,AU,AU-NSW,Armidale,YARM,ARM
Alice Springs Airport,-23.80669975,133.9019928,1789,OC,AU,AU-NT,Alice Springs,YBAS,ASP
Abu Dhabi International Airport,24.43300056,54.65110016,88,AS,AE,AE-AZ,Abu Dhabi,OMAA,AUH
Avalon Airport,-38.039398,144.468994,35,OC,AU,AU-VIC,Melbourne,YMAV,AVV
Ayers Rock Connellan Airport,-25.1861,130.975998,1626,OC,AU,AU-NT,Ayers Rock,YAYE,AYQ
Bundaberg Airport,-24.90390015,152.3190002,107,OC,AU,AU-QLD,Bundaberg,YBUD,BDB
Kota Kinabalu International Airport,5.937210083,116.0510025,10,AS,MY,MY-12,Kota Kinabalu,WBKK,BKI
Suvarnabhumi Airport,13.68109989,100.7470016,5,AS,TH,TH-10,Bangkok,VTBS,BKK
Broome International Airport,-17.94470024,122.2320023,56,OC,AU,AU-WA,Broome,YBRM,BME
Brisbane International Airport,-27.38419914,153.1170044,13,OC,AU,AU-QLD,Brisbane,YBBN,BNE
Hang Nadim International Airport,1.121029973,104.1190033,126,AS,ID,ID-RI,Batam Island,WIDD,BTH
Brunei International Airport,4.944200039,114.9280014,73,AS,BN,BN-BM,Bandar Seri Begawan,WBSB,BWN
Guangzhou Baiyun International Airport,23.392401,113.299004,50,AS,CN,CN-44,"Huadu, Guangzhou",ZGGG,CAN
Canberra International Airport,-35.30690002,149.1950073,1886,OC,AU,AU-ACT,Canberra,YSCB,CBR
Coffs Harbour Airport,-30.320601,153.115997,18,OC,AU,AU-NSW,Coffs Harbour,YCFS,CFS
Zhengzhou Xinzheng International Airport,34.5196991,113.8410034,495,AS,CN,CN-41,Zhengzhou,ZHCC,CGO
Christchurch International Airport,-43.48939896,172.5319977,123,OC,NZ,NZ-CAN,Christchurch,NZCH,CHC
Chongqing Jiangbei International Airport,29.71920013,106.6419983,1365,AS,CN,CN-50,Chongqing,ZUCK,CKG
Bandaranaike International Colombo Airport,7.180759907,79.88410187,30,AS,LK,LK-1,Colombo,VCBI,CMB
Cairns International Airport,-16.88579941,145.7550049,10,OC,AU,AU-QLD,Cairns,YBCS,CNS
Changsha Huanghua International Airport,28.18919945,113.2200012,217,AS,CN,CN-43,Changsha,ZGHA,CSX
Chengdu Shuangliu International Airport,30.57850075,103.9469986,1625,AS,CN,CN-51,Chengdu,ZUUU,CTU
Dubbo City Regional Airport,-32.21670151,148.5749969,935,OC,AU,AU-NSW,Dubbo,YSDU,DBO
Indira Gandhi International Airport,28.5665,77.103104,777,AS,IN,IN-DL,New Delhi,VIDP,DEL
Dallas Fort Worth International Airport,32.896801,-97.038002,607,NA,US,US-TX,Dallas-Fort Worth,KDFW,DFW
Hamad International Airport,25.273056,51.608056,13,AS,QA,QA-DA,Doha,OTHH,DOH
Ngurah Rai (Bali) International Airport,-8.748169899,115.1669998,14,AS,ID,ID-BA,Denpasar-Bali Island,WADD,DPS
Darwin International Airport,-12.41469955,130.8769989,103,OC,AU,AU-NT,Darwin,YPDN,DRW
Dunedin Airport,-45.92810059,170.197998,4,OC,NZ,NZ-OTA,Dunedin,NZDN,DUD
