City Pair Route,,Year,Month,Revenue Passengers,Aircraft Trips,Rev Pax,Distance,Seats,,City Pair Route
ABX,SYD,2014,7,"19,747",589,65.8,452,"30,007",,Albury - Sydney
ABX,SYD,2014,8,"21,085",573,69.2,452,"30,477", ,Albury - Sydney
ABX,SYD,2014,9,"20,138",536,67.5,452,"29,840", ,Albury - Sydney
ABX,SYD,2014,10,"20,620",545,67.9,452,"30,365", ,Albury - Sydney
ABX,SYD,2014,11,"19,516",508,69.2,452,"28,216", ,Albury - Sydney
ABX,SYD,2014,12,"17,347",479,63.3,452,"27,422", ,Albury - Sydney
ADL,BNE,2014,7,"67,506",548,78.8,"1,622","85,615",,Adelaide - Brisbane
ADL,BNE,2014,8,"63,663",541,74.5,"1,622","85,423", ,Adelaide - Brisbane
ADL,BNE,2014,9,"64,779",539,76.1,"1,622","85,122", ,Adelaide - Brisbane
ADL,BNE,2014,10,"76,658",566,85.1,"1,622","90,108", ,Adelaide - Brisbane
ADL,BNE,2014,11,"64,679",526,77.2,"1,622","83,825", ,Adelaide - Brisbane
ADL,BNE,2014,12,"70,936",558,79.9,"1,622","88,833", ,Adelaide - Brisbane
ADL,CBR,2014,7,"13,659",180,59.4,972,"22,984",,Adelaide - Canberra
ADL,CBR,2014,8,"14,411",180,61.3,972,"23,512", ,Adelaide - Canberra
ADL,CBR,2014,9,"15,303",183,63.7,972,"24,022", ,Adelaide - Canberra
ADL,CBR,2014,10,"16,937",186,69.2,972,"24,461", ,Adelaide - Canberra
ADL,CBR,2014,11,"15,441",174,68.7,972,"22,488", ,Adelaide - Canberra
ADL,CBR,2014,12,"14,836",168,70.1,972,"21,154", ,Adelaide - Canberra
ADL,MEL,2014,7,"196,327","1,646",77.9,643,"252,004",,Adelaide - Melbourne
ADL,MEL,2014,8,"193,133","1,613",78.1,643,"247,371", ,Adelaide - Melbourne
ADL,MEL,2014,9,"185,150","1,582",74.2,643,"249,583", ,Adelaide - Melbourne
ADL,MEL,2014,10,"207,283","1,634",82.5,643,"251,324", ,Adelaide - Melbourne
ADL,MEL,2014,11,"187,550","1,523",81.6,643,"229,792", ,Adelaide - Melbourne
ADL,MEL,2014,12,"193,609","1,582",79.5,643,"243,415", ,Adelaide - Melbourne
ADL,OOL,2014,7,"18,421",136,76.5,"1,607","24,077",,Adelaide - Gold Coast
ADL,OOL,2014,8,"17,446",123,80.1,"1,607","21,768", ,Adelaide - Gold Coast
ADL,OOL,2014,9,"18,277",134,77,"1,607","23,730", ,Adelaide - Gold Coast
ADL,OOL,2014,10,"20,969",136,87,"1,607","24,114", ,Adelaide - Gold Coast
ADL,OOL,2014,11,"16,688",118,79.9,"1,607","20,880", ,Adelaide - Gold Coast
ADL,OOL,2014,12,"20,017",146,77.3,"1,607","25,908", ,Adelaide - Gold Coast
ADL,PER,2014,7,"50,789",476,75.7,"2,120","67,096",,Adelaide - Perth
ADL,PER,2014,8,"49,700",460,76.7,"2,120","64,757", ,Adelaide - Perth
ADL,PER,2014,9,"51,530",463,78.1,"2,120","65,963", ,Adelaide - Perth
ADL,PER,2014,10,"56,880",464,86.9,"2,120","65,488", ,Adelaide - Perth
ADL,PER,2014,11,"49,903",448,82,"2,120","60,886", ,Adelaide - Perth
ADL,PER,2014,12,"54,507",469,82.5,"2,120","66,078", ,Adelaide - Perth
ADL,PLO,2014,7,"14,714",623,52,246,"28,307",,Adelaide - Port Lincoln
ADL,PLO,2014,8,"15,935",622,56.1,246,"28,398", ,Adelaide - Port Lincoln
ADL,PLO,2014,9,"15,891",616,55.9,246,"28,446", ,Adelaide - Port Lincoln
ADL,PLO,2014,10,"17,364",634,59.1,246,"29,368", ,Adelaide - Port Lincoln
ADL,PLO,2014,11,"16,392",605,58.9,246,"27,841", ,Adelaide - Port Lincoln
ADL,PLO,2014,12,"16,800",563,63.3,246,"26,534", ,Adelaide - Port Lincoln
ADL,SYD,2014,7,"152,083","1,201",76.9,"1,167","197,746",,Adelaide - Sydney
ADL,SYD,2014,8,"147,223","1,167",76.6,"1,167","192,197", ,Adelaide - Sydney
ADL,SYD,2014,9,"147,573","1,205",74.3,"1,167","198,514", ,Adelaide - Sydney
ADL,SYD,2014,10,"172,981","1,255",83.5,"1,167","207,165", ,Adelaide - Sydney
ADL,SYD,2014,11,"153,483","1,127",82.6,"1,167","185,793", ,Adelaide - Sydney
ADL,SYD,2014,12,"162,521","1,239",79.4,"1,167","204,594", ,Adelaide - Sydney
ARM,SYD,2014,7,"10,690",433,58,382,"18,418",,Armidale - Sydney
ARM,SYD,2014,8,"11,111",414,62.8,382,"17,700", ,Armidale - Sydney
ARM,SYD,2014,9,"10,723",424,58.7,382,"18,256", ,Armidale - Sydney
ARM,SYD,2014,10,"11,102",438,59.5,382,"18,668", ,Armidale - Sydney
ARM,SYD,2014,11,"10,581",390,65,382,"16,276", ,Armidale - Sydney
ARM,SYD,2014,12,"9,725",372,61.2,382,"15,896", ,Armidale - Sydney
ASP,MEL,2014,7,"12,689",94,86.2,"1,860","14,719",,Alice Springs - Melbourne
ASP,MEL,2014,8,Data not available for release.,,,"1,860",,,Alice Springs - Melbourne
ASP,MEL,2014,9,Data not available for release.,,,"1,860",,,Alice Springs - Melbourne
ASP,MEL,2014,10,Data not available for release.,,,"1,860",,,Alice Springs - Melbourne
ASP,MEL,2014,11,Data not available for release.,,,"1,860",,,Alice Springs - Melbourne
ASP,MEL,2014,12,Data not available for release.,,,"1,860",,,Alice Springs - Melbourne
ASP,SYD,2014,7,"13,251",91,88.8,"2,022","14,916",,Alice Springs - Sydney
