Date,Stop_1,Stop_2,Year,Month,Distance,Seats,Flights,Revenue_Percent,Passengers,Route,Crutch,Type
1-Jan-19,ABX,SYD,2019,1,452,22933,384,68,15654,Albury - Sydney,1,Regional
1-Feb-19,ABX,SYD,2019,2,452,24735,449,63,15694,Albury - Sydney,2,Regional
1-Mar-19,ABX,SYD,2019,3,452,29026,537,67,19333,Albury - Sydney,3,Regional
1-Apr-19,ABX,SYD,2019,4,452,27213,497,70,19015,Albury - Sydney,4,Regional
1-May-19,ABX,SYD,2019,5,452,29204,542,68,19771,Albury - Sydney,5,Regional
1-Jun-19,ABX,SYD,2019,6,452,26187,483,69,18094,Albury - Sydney,6,Regional
1-Jul-19,ABX,SYD,2019,7,452,29416,541,71,20910,Albury - Sydney,7,Regional
1-Aug-19,ABX,SYD,2019,8,452,28523,525,75,21380,Albury - Sydney,8,Regional
1-Sep-19,ABX,SYD,2019,9,452,27780,521,73,20194,Albury - Sydney,9,Regional
1-Oct-19,ABX,SYD,2019,10,452,29040,534,74,21479,Albury - Sydney,10,Regional
1-Nov-19,ABX,SYD,2019,11,452,28195,525,73,20654,Albury - Sydney,11,Regional
1-Dec-19,ABX,SYD,2019,12,452,25347,460,71,17971,Albury - Sydney,12,Regional
1-Jan-20,ABX,SYD,2020,1,452,18523,323,68,12665,Albury - Sydney,13,Regional
1-Feb-20,ABX,SYD,2020,2,452,24245,459,64,15546,Albury - Sydney,14,Regional
1-Mar-20,ABX,SYD,2020,3,452,23069,435,53,12140,Albury - Sydney,15,Regional
1-Apr-20,ABX,SYD,2020,4,452,1942,41,16,314,Albury - Sydney,16,Regional
1-May-20,ABX,SYD,2020,5,452,1756,33,24,416,Albury - Sydney,17,Regional
1-Jun-20,ABX,SYD,2020,6,452,,,,,Albury - Sydney,18,Regional
1-Jul-20,ABX,SYD,2020,7,452,,,,,Albury - Sydney,19,Regional
1-Aug-20,ABX,SYD,2020,8,452,,,,,Albury - Sydney,20,Regional
1-Sep-20,ABX,SYD,2020,9,452,,,,,Albury - Sydney,21,Regional
1-Oct-20,ABX,SYD,2020,10,452,,,,,Albury - Sydney,22,Regional
1-Nov-20,ABX,SYD,2020,11,452,,,,,Albury - Sydney,23,Regional
1-Dec-20,ABX,SYD,2020,12,452,,,,,Albury - Sydney,24,Regional
1-Jan-21,ABX,SYD,2021,1,452,,,,,Albury - Sydney,25,Regional
1-Feb-21,ABX,SYD,2021,2,452,,,,,Albury - Sydney,26,Regional
1-Mar-21,ABX,SYD,2021,3,452,16974,291,58,9871,Albury - Sydney,27,Regional
1-Apr-21,ABX,SYD,2021,4,452,19310,315,55,10648,Albury - Sydney,28,Regional
1-May-21,ABX,SYD,2021,5,452,19540,322,59,11507,Albury - Sydney,29,Regional
1-Jun-21,ABX,SYD,2021,6,452,18264,308,53,9726,Albury - Sydney,30,Regional
1-Jan-19,ADL,ASP,2019,1,"1,316",15448,115,67,10281,Adelaide - Alice Springs,1,Regional
1-Feb-19,ADL,ASP,2019,2,"1,316",14308,104,66,9463,Adelaide - Alice Springs,2,Regional
